title,audio_file_id,genre,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
"Hey, Hey, Honey",T5586R12,Work song; fishing song; boat song,2,10,10,0,0,0,0,11,11,5,6,9,6,11,3,6,2,9,3,0,0,2,2,7,5,0,0,3,5,5,0,2,4,5,5,5,5
Budjuru,PENDING,Topical song,10,10,10,8,11,11,8,11,11,2,6,11,6,11,3,1,5,1,11,8,8,11,5,3,8,0,0,7,5,5,0,2,6,8,8,2,5
Dili O Idilum/Thoir A Nall Ailean ,T5590R11,Work song,6,11,11,5,2,2,11,11,11,5,1,9,11,11,3,3,2,1,3,2,5,11,11,1,5,3,11,0,0,0,0,5,6,5,8,5,5
The Carrion Crow,T9515R10,Topical song,10,11,11,8,11,11,11,11,11,5,1,11,11,11,3,6,2,6,8,2,2,,0,1,5,3,11,0,0,0,0,5,6,2,5,5,8
Girl's Song,T5620R08,Song about leadership,10,10,10,8,11,11,8,11,11,11,1,11,1,11,3,9,2,11,8,2,5,11,2,3,2,0,0,3,5,5,5,5,9,11,2,5,5
Down in Rackensack,T9515R28,Topical song,10,0,1,8,11,11,0,5,2,5,6,11,6,0,3,7,0,9,11,5,5,11,0,1,2,3,3,3,0,5,0,5,6,8,8,8,5
Quande t'ha parturite la toa mamma,T9515R30,Work song; muleteer's song,10,11,11,8,11,11,11,11,11,11,0,11,11,11,0,1,8,0,11,5,5,11,5,7,2,11,11,3,11,5,0,8,9,8,8,8,5
The Lay of Cossack Golota,T9515R32,Ballad,10,0,10,8,11,11,0,11,11,11,1,11,1,11,3,9,5,11,11,2,5,11,5,7,2,3,3,3,5,11,5,2,4,5,5,8,8
Cantillation of the Kedusha,T5620R04,Prayer,10,11,11,8,11,11,11,11,11,8,0,11,11,11,,7,5,4,11,2,8,11,8,9,5,11,0,7,11,5,0,2,11,11,8,2,5
"Maururu Roa Vu, Rupe Faraui",T5620R29,Breathless song; women's song,6,11,11,0,2,2,11,11,11,5,1,9,11,11,3,9,2,11,8,2,5,2,0,1,5,3,0,0,0,0,0,2,4,2,2,5,8
Song of the Shellfish Gatherer,T5620R18,Gathering song; fishing song,4,11,11,5,5,2,11,11,11,5,1,9,11,11,3,9,0,11,1,2,8,11,8,7,2,0,0,7,5,5,11,2,6,11,11,8,8
Tu Rondinella ,T5619R26,Love song; serenade,8,11,11,8,11,11,11,11,11,8,6,11,11,11,3,1,5,0,8,5,5,11,5,7,2,3,0,7,11,5,5,8,9,11,8,8,8
"Gadanalym, Mugam",T9517R02,Muqam,10,4,5,8,11,11,0,0,8,11,0,11,0,7,3,11,2,11,8,2,8,11,11,9,2,11,11,7,5,0,11,5,9,8,5,2,2
Harlsan Hagd,T9517R04,"",10,10,10,8,11,11,8,11,11,8,0,11,0,11,11,6,5,4,11,5,8,11,8,3,2,0,0,7,11,11,11,5,4,5,2,8,2
Thukkiya Thiruvadi ,T5620R16,Devotional song; praise song,10,0,1,8,11,11,0,5,5,0,0,11,0,3,3,2,2,11,3,0,8,11,11,1,2,0,0,3,11,0,11,0,9,8,8,0,0
A Janeiras,T5620R15,New year song; carol,10,11,11,8,11,11,11,11,11,8,1,11,11,11,0,6,2,4,8,5,5,11,2,9,5,7,0,3,11,5,0,5,6,5,8,5,5
Këngë Djepi,T9517R23,Lullaby,10,11,11,8,11,11,11,11,11,5,1,11,11,11,3,1,5,0,8,5,5,11,5,7,5,7,0,3,5,0,5,5,6,5,2,2,5
Rusla,T9517R25,Teasing song,10,11,11,8,11,11,11,11,11,5,6,11,11,11,3,6,2,6,,2,2,11,0,7,5,7,0,0,0,5,0,5,6,2,5,5,8
Adios La Mio Vaca Pinta,T5590R17,Vaqueiro song; asturianada; animal song,10,11,11,8,11,11,11,11,11,8,0,11,11,11,3,6,,4,8,5,8,11,11,9,2,11,0,0,11,5,,8,6,5,8,8,8
Crits de les arrues,T9517R35,Work song; vendor's song; cries,10,11,11,8,11,11,11,11,11,11,1,11,11,11,3,1,0,1,8,8,2,11,0,7,2,7,0,0,0,0,0,5,6,2,5,8,5
Magdal About the Winner of an Archery Tournament,T5623R14,Heroic song,10,11,11,8,11,11,11,11,11,0,0,11,11,11,3,11,5,11,11,0,8,11,11,7,2,11,0,7,11,0,11,0,4,8,5,8,0
En Roulant Ma Boule,T9519R17,Lumberers' song; work song,10,11,11,8,11,11,11,11,11,5,6,11,11,11,3,6,2,4,8,5,5,11,0,3,5,0,11,0,5,5,0,5,6,5,8,8,8
O Death,T5619R20,Spiritual; religious song,10,11,11,8,11,11,11,11,11,8,6,11,11,11,3,8,2,7,8,5,2,11,2,3,2,3,11,7,5,11,0,2,4,8,5,8,5
Shur Dasyakhe,T9520R02,Muqam,10,0,10,8,11,11,0,11,11,11,0,11,0,11,3,,5,0,11,8,8,11,0,11,8,11,11,7,5,0,0,2,4,5,2,5,8
Canto Dei Minatori Di Zolfo,T5592R09,Canto dei minatori di zolfo; sulphur miner's song; miner's song; work song,10,4,10,8,11,11,8,11,11,11,0,11,6,11,3,7,5,9,11,5,8,11,8,7,2,11,3,7,11,0,0,8,6,8,8,5,2
"Gloria Part I, Mass in B Minor",T9521R02,Mass,10,0,1,8,11,11,0,0,2,2,6,11,6,0,3,10,8,11,8,5,5,11,5,7,2,3,3,0,11,5,5,5,4,2,0,0,0
Gambling Song,PENDING,Gambling song,6,9,6,5,2,2,5,0,2,5,6,9,6,9,7,0,2,0,11,8,5,11,0,3,2,0,0,3,5,5,5,5,4,8,8,8,2
Misit Dominus Verbum Suum,T9521R04,Gregorian chant; chant,10,11,11,5,0,0,11,11,11,0,0,9,11,11,3,9,8,0,11,5,5,11,0,9,8,11,0,0,11,0,0,2,6,2,2,0,0
Ya Souki Hakim ,T9521R05,Secular song,2,11,11,2,5,5,11,11,11,11,0,7,11,11,0,11,5,11,8,2,8,11,8,3,5,0,0,7,11,5,11,8,6,5,5,5,8
Yom Kippur Prayer ,T5620R30,Prayer,10,11,11,8,11,11,11,11,11,5,0,11,11,11,3,1,5,1,8,5,8,11,8,9,8,11,0,3,11,11,11,5,9,8,5,0,2
Ho Ali Ili,T5590R15,Drinking song,4,10,10,5,5,8,5,0,2,2,6,11,9,11,0,0,5,0,11,5,0,11,0,1,5,3,3,3,0,0,5,2,6,2,5,5,8
Jesus Will Be Your Friend,T5620R19,Spiritual,7,11,11,0,2,2,11,11,11,11,6,0,11,11,3,8,5,6,8,0,5,0,0,3,2,0,11,3,,11,0,0,4,5,8,2,2
"Dime donde vas, morena",T5619R24,Love song; girls' song,6,11,11,5,5,2,11,11,11,8,1,9,11,11,11,6,2,9,,5,5,11,2,3,2,0,11,0,5,0,0,8,6,5,2,5,5
Praise Song of the Gobi,T5623R15,Praise song,10,10,10,8,11,11,0,11,11,8,6,11,6,11,3,1,5,0,11,2,5,11,0,1,5,0,3,0,5,0,5,2,4,8,8,8,11
Giraffe Medicine Song,T9522R04,Medicine song; healing song; dream song,0,0,0,0,2,0,0,0,0,0,6,0,6,0,0,0,0,1,,5,2,0,0,3,5,0,0,0,11,0,11,2,0,5,5,2,0
The Greatness of Abomey,T9522R13,Patriotic song,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borg Song,PENDING,Spirit song; fishing song,7,10,7,5,2,5,5,8,2,2,6,9,6,3,0,0,5,1,8,5,5,11,5,3,8,0,0,7,11,0,0,5,9,8,8,2,0
Ballad,T9522R31,Ballad,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bold Tenant Farmer,T5589R11,Ballad,10,11,11,8,11,11,11,11,11,8,6,11,11,11,,6,2,6,,2,5,11,2,1,5,3,11,0,0,5,5,5,6,8,8,8,11
Orokaiva Song 2,T9522R35,Men's song,4,11,11,5,0,2,11,11,11,2,1,9,11,11,3,1,2,1,11,8,2,11,0,7,2,0,11,0,5,0,0,5,4,5,2,8,2
The Titanic,T5586R10,Historical song; topical song,0,0,0,0,2,2,0,5,2,2,6,0,6,3,3,6,2,4,3,0,2,0,2,3,5,3,0,7,0,0,0,0,4,2,2,0,0
Den Herrn Pastor Sien Koh,T5620R20,Story song,6,10,10,5,2,2,0,11,11,5,6,9,6,11,3,6,2,7,0,5,5,11,0,3,5,3,3,3,0,0,0,5,6,0,0,5,8
Nous Sommes Venus Vous Vouer,T5620R22,Wedding song,8,11,11,8,11,11,11,11,11,8,1,11,11,11,,6,2,7,8,5,5,11,2,3,5,0,11,0,0,11,0,5,6,5,5,5,11
Keen for a Dead Child,T5589R14,Lament; mourning song; for the dead,10,11,11,8,11,11,11,11,11,11,0,11,11,11,0,1,5,3,11,5,5,11,5,9,8,11,11,3,11,5,0,8,4,0,0,2,2
Marrenjarq Aldo,T5620R28,Animal song,10,11,11,8,11,11,11,11,11,0,1,11,11,11,3,,8,,11,5,0,11,0,3,5,3,11,3,5,11,11,8,0,5,8,5,2
San Do Kai,T9523R61,Spirit song,4,4,5,5,5,2,11,8,11,11,9,9,9,11,3,0,8,0,11,11,11,11,0,7,5,3,11,,0,0,0,5,6,5,8,2,2
"Ram, Ram, Ram",T5620R14,Meditative song; chant,10,11,11,8,11,11,11,11,11,0,9,11,11,11,3,0,8,1,11,11,11,11,0,1,8,7,11,0,0,0,0,5,9,2,5,2,8
Bungbung Mangmang,T5620R13,Lullaby,10,11,11,8,11,11,11,11,11,11,0,11,11,11,,7,8,4,8,5,8,11,8,9,8,11,11,3,11,0,5,2,6,8,8,2,8
Baptising down by the Creek,T5619R23,Spiritual,6,0,1,0,2,2,0,2,2,8,6,9,6,0,3,6,2,6,3,2,2,4,0,3,2,3,3,3,0,0,0,5,6,5,2,8,5
Oi Ant Kalno (Karo Daina),T9524R08,War song,10,11,11,8,11,11,11,11,11,5,1,11,11,11,3,0,5,1,3,5,5,11,0,3,5,3,11,0,5,0,0,5,4,2,0,5,8
Tampai Gyentsen; Banner of the Teaching,T9509R43,Evening song; song for deity,11,,1,,,,2,0,8,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
Go to Sleepy Little Baby,T5619R17,Lullaby,10,11,11,8,11,11,11,11,11,8,6,11,11,11,3,8,0,11,3,2,5,11,0,7,5,0,11,3,0,5,0,2,4,2,5,2,2
Tailaff,T9525R32,Love song,10,4,10,8,11,11,8,11,11,8,0,11,0,11,3,2,5,1,8,5,8,11,11,9,2,11,11,7,11,0,5,8,9,8,8,5,8
Chongura,T9525R48,Drinking song,0,11,11,0,5,8,11,11,11,0,0,7,11,11,3,11,5,1,1,2,5,4,5,7,2,11,11,3,11,0,5,2,6,5,8,0,0
Sung Poetry,T9525R52,Lyric song,10,10,10,8,11,11,0,11,11,11,1,11,1,11,7,9,5,11,11,2,5,11,2,3,2,0,11,3,5,5,0,2,6,8,8,5,8
Captain Wedderbum's Courtship,T9526R14,"",10,11,11,8,11,11,11,11,11,8,1,,11,11,3,6,5,6,3,2,5,11,5,3,5,7,11,0,5,5,5,5,6,5,8,5,11
Zaguba Bai,T9526R24,Animal song,7,10,10,0,2,2,8,11,11,8,6,9,9,11,3,0,11,0,3,2,0,2,2,7,5,0,0,3,5,0,0,2,4,5,5,5,0
Fiesta Drum Music,T5620R05,Fiesta song,11,,7,,,,5,2,2,,,,9,9,,,,,,,,,,,,,0,,,,,,,,,,
"Hokke Kyo, Morning Prayer Number 1",T5620R02,Prayer,10,4,10,8,11,11,8,11,11,8,0,11,9,11,3,3,5,0,3,5,8,11,2,1,5,3,3,3,5,5,5,5,9,5,8,8,5
Kalutang,T5620R03,Instrumental,11,,10,,,,0,11,11,,,,6,11,,,,,,,,,,,,,0,,,,,,,,,,
"Bongo Drum Instruction, Three Beats per measure",T5620R26,Instrumental,11,,10,,,,8,11,11,,,,6,11,,,,,,,,,,,,,0,,,,,,,,,,
Rdanganjej Rangandaj,PENDING,Wongga song; chant,10,10,10,8,11,11,0,8,2,5,3,11,3,9,0,1,8,0,11,5,8,11,5,3,8,3,0,7,5,0,0,5,9,11,8,0,0
Healing Song,T9527R21,Healing song; warrior's song,11,,10,,,,8,11,11,,,,3,11,,,,,,,,,,,,,0,,,,,,,,,,
Macedonske Horo,T9527R25,Dance song,11,,7,,,,0,5,2,,,,3,9,,,,,,,,,,,,,7,,,,,,,,,,
Badakhchan Dance,T5623R13,Dance song,11,,10,,,,8,11,11,,,,3,11,,,,,,,,,,,,,0,,,,,,,,,,
The Reel of Tulloch; Mrs. Maclead of Raasay,T5590R14,Reel and hornpipe,10,9,6,11,11,11,5,5,11,0,6,11,9,9,3,4,0,1,11,5,0,11,0,0,2,3,0,0,5,11,11,2,6,5,5,8,2
The Ten-Penny Bit/Smash the Windows,T5522R44,Wordless singing,10,0,1,11,11,11,0,2,8,0,6,11,6,3,3,1,0,6,3,2,5,11,2,1,5,0,0,0,0,0,5,2,0,5,8,5,8
Schlafendes Jesukind,T5522R74,Lieder,10,0,10,11,11,11,0,11,11,11,1,11,1,11,3,11,5,11,3,2,5,11,0,9,5,7,7,3,5,0,0,2,6,5,0,2,11
Where the Blue of the Night Meets the Gold of the Day,T5522R75,Popular song; crooning,10,0,6,11,11,11,0,2,8,8,6,11,6,0,3,6,5,6,3,2,5,11,2,7,5,7,7,7,0,0,0,5,6,5,2,2,5
Tu Ne Sais Pas Aimer,T5522R76,"",10,0,3,11,11,11,0,5,5,8,6,11,6,0,3,10,5,11,3,2,5,11,0,7,5,7,7,7,0,5,0,2,6,5,2,5,11
Chun-Taryon ,T5522R77,"",10,0,1,11,11,11,0,8,5,8,6,11,6,5,,7,0,4,0,5,0,11,5,3,5,,0,0,,11,5,2,,8,5,,11
La Monferrina,T5592R04,Dance song,6,9,6,0,2,2,0,2,2,8,6,9,6,0,3,0,2,0,3,2,5,2,0,1,2,0,0,0,0,0,0,5,6,5,2,8,5
Joc Cu Fete,T5522R69,Dance song; cries,5,9,6,2,8,8,0,5,2,8,1,7,1,5,3,1,5,0,3,8,5,11,2,3,0,11,0,7,0,0,5,5,4,5,5,5,0
Free Little Bird,T5522R68,Popular song; animal song,10,0,1,11,11,11,0,5,5,5,6,11,6,5,11,6,2,6,3,5,5,11,0,3,2,0,0,3,0,0,0,5,6,8,8,5,2
Barbara Allen,T5522R64,Ballad,10,11,11,11,11,11,11,11,11,11,6,11,11,11,3,7,5,6,3,2,5,11,2,7,5,3,0,3,5,5,5,5,6,5,5,2,2
Barbara Allen,T5591R17,Ballad; love song,10,10,10,11,11,11,8,11,11,11,1,11,1,5,3,7,5,6,3,2,5,11,0,7,5,0,0,0,0,5,0,5,6,5,5,5,8
Een Boeren Een Boer En Een Edele Boer,T5522R58,Narrative song,10,11,11,11,11,11,11,8,11,5,1,11,11,11,,6,2,7,11,5,5,11,0,3,8,3,0,3,0,11,0,2,6,11,8,5,8
The Dowie Dens of Yarrow,T5590R01,Ballad; border ballad,10,11,11,11,11,11,11,11,11,11,0,11,11,11,3,7,5,4,3,2,5,11,2,7,5,7,0,3,5,5,0,5,6,8,8,5,8
Sand-Wass-Bylgjum ,T5522R54,"",10,11,11,11,11,11,11,11,11,11,1,11,11,11,3,6,5,4,3,5,5,11,0,7,5,3,0,0,5,5,0,5,4,2,2,5,8
A Temetőkapu,T5522R53,Funeral song,10,11,11,11,11,11,11,11,11,11,1,11,11,11,11,7,5,6,3,2,5,11,5,7,,,,,,,,,,,,,
"Go, Maro, to the Well",T5618R09,Spinning song; work song; ballad; love song,10,11,11,11,11,11,11,11,11,,1,11,11,11,3,7,2,7,3,5,5,11,5,7,5,3,0,3,5,5,5,5,4,8,2,5,5
Poniky,T5522R51,"",10,6,10,11,11,11,0,11,11,8,3,11,3,11,0,6,5,6,,5,5,11,2,3,5,0,0,0,0,0,0,5,6,5,8,5,5
"Hol Háltál Az Éjjel, Cönögemadár",T5522R48,"",10,11,11,11,11,11,11,11,11,8,0,11,11,11,3,6,2,6,3,5,5,11,0,7,5,0,0,3,0,0,0,2,6,5,5,5,8
"Sah ein Knab' ein Roslein Stehn, A Boy Saw A Rose",T5522R73,Love song; lyric song,6,10,6,0,2,2,0,0,2,8,6,9,6,5,11,6,5,9,8,2,5,2,0,9,8,3,3,0,5,5,0,2,6,0,2,2,8
Prelude to Mosso Bara Dance,T5521R30,Dance song,2,0,1,0,0,0,0,0,0,2,6,9,6,3,0,4,2,0,8,5,5,2,0,3,2,0,0,0,5,0,0,5,4,5,5,5,2
Song to a Bride,T5553R03,Wedding song,0,11,11,0,0,0,11,11,11,2,6,0,11,11,0,0,0,0,11,5,0,0,0,1,8,0,0,0,0,0,0,2,4,8,8,2,5
Love Song,T5553R04,Love song,2,11,11,0,2,2,11,11,11,2,1,0,11,11,3,0,0,1,8,5,5,2,0,3,2,3,0,7,11,11,5,5,6,5,2,8,2
Harvest Song,T5553R05,Harvest song; agricultural song,0,0,1,0,2,0,0,0,2,5,6,3,6,3,3,3,0,0,3,5,2,0,0,1,5,3,3,3,5,0,5,5,6,5,5,2,2
Wedding music,T5553R06,Wedding song; processional music,0,0,0,0,2,2,0,0,2,0,3,0,3,3,0,0,2,1,11,2,2,0,0,3,2,3,0,3,11,0,5,2,4,5,2,5,0
Aderi Song ,T5553R07,Wedding song; girls' song; responsorial song,2,11,11,0,0,0,11,11,11,8,0,0,11,11,3,8,5,4,11,5,5,9,5,,0,11,0,7,11,0,11,5,6,5,5,8,5
Sidamo Song,T5553R08,Responsorial song,2,11,11,0,8,2,11,11,11,0,1,0,11,11,3,4,0,1,8,2,5,9,2,3,2,0,0,0,5,11,11,0,,8,2,5,0
Incitement to Battle,T5553R11,Recitative; war song,10,11,11,11,11,11,11,8,11,8,1,11,11,11,3,2,0,1,11,8,8,11,0,0,5,3,0,0,0,0,5,5,6,5,5,5,8
Girls' Age-Grade Song,T5553R12,Girls' song,3,9,6,5,2,2,5,0,5,2,1,9,1,9,3,4,2,0,0,5,2,11,0,3,2,0,0,7,5,0,5,8,6,2,2,5,2
Maji Dance Music,T5553R13,Dance song; feast song; hocket; yodel,0,11,11,0,0,2,11,11,11,0,6,0,11,11,3,0,2,1,3,2,2,0,0,3,5,0,0,0,11,0,11,5,0,5,2,0,0
Underarm Music,T5553R14,Men's song,8,0,1,11,11,11,8,8,2,0,6,11,1,3,3,3,0,0,3,5,5,11,0,1,2,0,0,3,11,0,11,2,9,11,2,5,0
Canto a vatoccu ,T5472R24,Love song; field song; work song,2,11,11,0,2,2,11,11,11,5,1,0,0,11,11,1,5,1,11,2,5,2,5,7,2,7,0,3,5,5,5,5,6,5,5,8,5
Alla Carpinese,T5472R25,Love song,10,,10,11,11,11,0,11,11,8,6,11,6,11,0,1,2,1,11,5,5,11,2,3,2,3,3,7,5,0,0,8,6,8,8,8,2
Alla Campagnola 1,T5472R27,Canzuna; alla campagnola; ottava; love song,1,,10,0,5,5,0,11,11,8,1,0,1,11,3,0,5,1,11,2,5,2,2,7,2,3,3,7,11,0,5,8,6,8,8,8,2
Novena Di Natale,T5472R30,Christmas song,10,,6,8,11,11,0,2,2,11,0,11,6,0,7,0,2,0,11,5,5,11,8,7,2,11,11,3,5,,5,5,6,8,8,8,8
El Jarabe Loco,T5487R41,Jarabe; dance song,7,,7,0,2,0,0,0,11,8,6,9,6,3,0,4,2,1,,5,5,4,0,1,2,3,3,3,0,0,0,5,6,5,5,8,8
Toada De Abeitura,T5487R17,"",7,,7,0,5,5,0,5,2,11,0,9,0,5,3,6,8,4,0,2,2,2,2,9,0,11,11,7,5,0,0,2,6,8,8,8,2
A Burrinha,T5487R18,"",10,11,1,8,11,11,0,8,2,5,,11,6,,0,1,5,0,11,5,5,11,0,1,2,0,0,0,0,0,0,5,6,8,11,8,8
Cana Verde,T5487R25,"",8,9,6,8,11,11,0,5,2,8,6,11,6,3,3,1,5,0,8,5,5,11,0,1,5,0,0,0,0,0,0,5,6,5,5,5,8
Bajo La Luna ,T5487R27,Son Montuno,4,0,1,0,0,0,0,,0,8,6,9,6,1,3,7,2,6,1,5,5,0,2,3,5,3,0,0,0,5,0,5,6,5,2,5,8
Klarnet Davul,T5537R04,Dance song; instrumental,,,5,,,,2,,2,,,,0,5,,,,,,,,,,,,,0,,,,,,,,,,
Farmerska Kolomyjka,T5472R10,Agricultural song,10,,2,8,11,11,0,5,5,8,6,11,6,0,3,0,2,1,11,5,5,11,0,1,5,0,0,0,0,0,0,5,6,5,8,8,11
Zrobil G—ral Krzyz Na Czole,T5472R03,Mountain song,7,11,7,0,2,2,0,2,,5,1,9,6,0,3,6,2,7,8,5,5,2,0,3,5,3,3,0,0,0,0,5,6,5,2,5,8
O Gero Amerikanos,T5472R08,Topical song,10,0,6,8,11,11,0,2,2,8,6,11,6,3,3,1,5,0,,5,5,11,2,3,5,0,0,7,5,0,0,5,9,8,5,5,8
Tonada,T5472R20,Tonada; improvised song,10,0,7,8,11,11,0,8,0,11,1,11,1,7,11,6,5,7,11,5,5,11,2,3,5,3,0,0,5,0,0,5,6,5,2,8,8
Social Dance Music,T5537R01,Social dance; dance song,,,7,,,,5,8,5,,,,6,5,,,,,,,,,,,,,0,,,,,,,,,,
On the Barbyn Steppes,T5537R02,"",2,9,7,0,0,0,0,0,0,8,6,0,6,0,3,6,2,7,1,0,5,0,0,3,2,0,0,0,5,5,0,5,4,5,5,8,8
Dance,T45045,Dance song,,,7,,,,0,5,5,,,,6,9,,,,,,,,,,,,,3,,,,,,,,,,
Genggong,T5537R11,Drama; mythical song,,,7,,,,0,8,0,,,,6,0,,,,,,,,,,,,,3,,,,,,,,,,
Gong Orchestra,T5537R12,"",,,3,,,,0,2,0,,,,6,0,,,,,,,,,,,,,0,,,,,,,,,,
Misket,T5537R10,Dance song; popular song,,,7,,,,0,8,2,,,,6,0,,,,,,,,,,,,,3,,,,,,,,,,
Danza Del Arco,T5537R06,Ceremonial song; dance song,,,4,,,,0,5,5,,,,6,7,,,,,,,,,,,,,0,,,,,,,,,,
Randimala Jama Jama,PENDING,Dream song; gunborg song,6,9,7,5,5,2,5,8,5,2,6,9,1,5,3,0,5,1,11,2,5,11,2,1,2,0,0,7,5,0,5,2,9,8,8,5,0
Fandango,T5620R17,Dance song; fandango,11,,6,,,,0,0,2,,,,1,0,,,,,,,,,,,,,0,,,,,,,,,,
Machkal,T5620R06,Instrumental,11,,5,,,,0,0,11,,,,0,7,,,,,,,,,,,,,11,,,,,,,,,,
Kalamatianos,T5620R11,Dance song; circle dance,11,,7,,,,0,2,2,,,,3,0,,,,,,,,,,,,0,,,,,,,,,,,
Kang'et Chorwet,T9527R69,Praise song,2,0,10,0,5,0,0,11,11,5,6,0,6,11,3,1,2,0,3,5,5,0,0,3,8,0,0,3,5,0,0,8,6,8,8,5,2
"Kathakali, Part Two",T5589R08,Dance song; theater song,10,0,1,8,11,11,5,5,2,8,3,11,3,0,3,11,5,11,3,5,8,11,8,7,8,3,0,3,11,0,5,2,9,8,5,2,5
Tangle Eye Blues,T5618R11,Work song; prison song; blues; holler; field song,10,11,11,8,11,11,11,11,11,5,0,11,11,11,0,2,5,1,8,5,2,11,5,7,8,11,11,7,11,5,5,8,4,2,2,2,5
"Till Ab Crodh, Laochan",T5590R12,Work song; cattle song; pastoral song; milking song,10,10,10,8,11,11,8,11,11,8,6,11,9,11,3,3,5,0,11,5,5,11,0,3,8,3,3,0,5,0,0,5,6,5,5,2,8
Drunk Dance,PENDING,Dance song; drinking song,10,11,11,8,11,11,11,11,11,2,6,11,11,11,3,9,5,11,8,5,5,11,0,3,2,0,11,3,11,0,5,5,6,8,8,8,2
Composition in the Abu-Ata Mode,T9528R18,Dastgāh,11,,10,,,,0,11,11,,,,0,,,,,,,,,,,,,,11,,,,,,,,,,
Old Joe's Jig,T9528R19,Jig,11,,7,,,,5,8,,,,,6,5,,,,,,,,,,,,,0,,,,,,,,,,
High Moon,T9528R23,Song about nature,11,,6,,,,5,5,2,,,,0,9,,,,,,,,,,,,,7,,,,,,,,,,
Flageolet Solo,T9528R35,"",11,,10,,,,8,11,11,,,,1,11,,,,,,,,,,,,,7,,,,,,,,,,
Malanbalanj Bagama,PENDING,Gunborg song; dance song,10,0,0,8,11,11,0,8,0,2,6,11,6,3,0,0,5,1,8,5,5,11,2,1,5,0,0,3,5,0,0,5,11,8,8,5,2
Musica de La Semana Santa,T9528R41,Religious song,11,,8,,,,8,11,11,,,,0,11,,,,,,,,,,,,,11,,,,,,,,,,
The Haunted Woods,T9529R04,Ballad,10,11,11,8,11,11,11,11,11,11,6,11,11,11,0,6,5,6,8,2,5,11,2,7,5,3,11,3,5,5,0,5,6,5,2,5,8
Los Angeles New Year's Flood,T9529R18,New year song; topical song,10,10,10,8,11,11,0,11,11,11,6,11,6,11,,6,5,6,1,5,5,11,0,3,5,0,0,3,5,0,0,5,9,5,5,5,8
Mrs. McGrath,T5589R15,Political song; ballad; topical song; war song,10,11,11,8,11,11,11,11,11,8,6,11,11,11,3,6,2,9,1,2,5,11,2,1,2,3,11,0,0,0,0,2,6,2,8,5,8
Yellow Gal,T5594R26,Love song,10,10,10,8,11,11,0,11,11,2,6,11,6,11,0,0,2,0,3,5,2,11,0,1,2,0,0,0,0,0,0,8,6,2,2,8,5
Poor Ellen Smith,T5586R04,Murder ballad; ballad,10,10,10,8,11,11,0,11,11,11,6,11,6,11,3,0,5,0,3,2,5,11,0,3,5,0,0,0,5,0,0,5,6,5,2,5,2
The Twa Sisters,T5591R11,Ballad,10,11,11,8,11,11,11,11,11,11,6,11,11,11,3,6,2,4,3,5,5,11,0,3,8,3,11,0,0,0,0,5,6,2,8,2,11
Kenga E Cun Mules,T9530R10,Ballad,7,11,11,5,2,2,11,11,11,8,3,9,11,11,3,0,5,0,8,8,5,11,5,1,2,0,11,0,5,0,5,5,6,5,5,8,5
Rosewood Casket,T5619R22,Popular song,10,0,0,8,11,11,0,2,2,11,6,11,6,3,3,6,2,6,8,2,2,11,2,7,2,0,0,3,5,0,0,5,9,5,2,2,5
Ghost Dance,PENDING,Dance song,10,4,10,8,11,11,8,11,11,5,1,11,1,11,7,6,2,4,8,5,8,11,8,3,0,3,3,0,5,11,11,5,6,8,8,11,2
There's a Well in the Field,T5620R07,Women's song,4,11,11,0,0,0,11,11,11,5,1,0,11,11,3,6,5,4,3,2,5,0,0,0,2,3,11,3,5,5,0,2,4,5,2,8,8
Falkvard Langmansson,T9530R38,Ballad,4,9,6,5,0,0,5,2,2,8,6,9,9,9,3,6,2,9,8,5,5,11,0,3,5,0,0,0,5,5,0,5,6,2,2,5,8
Tan-Tan,T9533R14,Villancico; Christmas song,10,11,11,8,11,11,11,11,11,5,1,11,11,11,3,6,2,7,3,2,5,11,0,1,5,3,11,0,5,5,0,8,6,2,2,5,8
Folksong in kolomeika rhythm,T9533R40,Work song; pile-driving song,10,11,11,8,11,11,11,11,11,8,6,11,11,11,3,6,5,3,11,5,5,11,0,3,8,3,11,0,0,0,0,2,6,5,5,5,11
Lament for Dead Father,T9533R44,Lament; mourning song,10,11,11,8,11,11,11,11,11,8,9,11,11,11,0,1,2,1,11,5,8,11,0,3,8,7,11,7,5,0,0,5,6,2,5,2,8
Work Song,NULL,Work song,10,11,11,8,11,11,11,11,11,8,1,11,11,11,3,0,5,0,8,2,5,11,5,1,5,3,11,0,0,5,5,5,6,2,8,5,11
John Henry,T9534R11,Story song,10,0,1,8,11,11,0,2,2,8,6,11,6,3,3,6,2,7,3,2,2,11,2,3,2,0,0,7,5,0,11,8,0,5,2,8,8
